Year,Beef,Pig,Poultry,Sheep
1990,30.58439501,22.4309574,34.97056713,0.626729648
1991,30.36112154,22.72093271,36.40592063,0.620546584
1992,30.25143052,23.97408465,37.80231016,0.600503433
1993,29.60549367,23.65552195,38.45185546,0.583741361
1994,30.64673982,23.95713077,39.04276613,0.52301601
1995,30.82671092,23.60848675,38.89149253,0.521671269
1996,30.91811042,22.0500274,39.63871186,0.494724777
1997,30.25044693,21.80903274,39.87772523,0.487098617
1998,30.67977792,23.44010639,40.18279567,0.519978664
1999,31.03156304,23.97294821,42.61870431,0.510847964
2000,31.13144558,23.31579618,43.04634259,0.499488832
2001,30.46864557,22.89224038,43.04942831,0.513972995
2002,31.13777007,23.48332926,45.07455251,0.527195841
2003,29.89333244,23.62893972,45.44545679,0.503400709
2004,30.46049842,23.42757578,46.42405146,0.485471053
2005,30.19648661,22.83578285,47.10448852,0.473107147
2006,30.33667204,22.55211583,47.35279554,0.468799888
2007,30.05972705,23.18407226,46.60698846,0.502829357
2008,28.8712793,22.58028251,46.4602345,0.4418042
2009,28.19983952,22.84507242,44.38913405,0.43134088
2010,27.56187572,21.79038203,45.40926905,0.404473802
2011,26.45223905,20.80635586,46.39951319,0.374669357
2012,26.27146035,20.83481996,44.41506322,0.3795509
2013,25.76733873,21.35850236,44.2275512,0.383571245
2014,24.8176457,21.12080746,44.9407208,0.408284037
2015,24.8114225,22.64389419,47.65027355,0.417358254
2016,25.6224474,22.75840827,48.30057642,0.415569994
2017,25.82328565,23.56982762,48.82848839,0.378633236
2018,26.28019261,23.23261121,47.75633318,0.375104094
2019,26.21618398,23.37180842,47.85490399,0.375710645
2020,26.13342596,23.4780768,48.0963113,0.374457854
2021,25.98248224,23.65995271,48.25428914,0.37353906
2022,25.86457498,23.57487815,48.36538376,0.37213132
2023,25.88189338,23.61788934,48.44445333,0.370691266
2024,25.83013948,23.63518763,48.47757381,0.36956541
2025,25.84284268,23.67995973,48.4664349,0.368721944
2026,25.85086367,23.61563753,48.26007182,0.368678693
