LOCATION,SUBJECT,MEASURE,TIME,Value
AUS,BEEF,KG_CAP,1991,27.72181548
AUS,BEEF,KG_CAP,1992,26.19959097
AUS,BEEF,KG_CAP,1993,26.1690941
AUS,BEEF,KG_CAP,1994,25.45613441
AUS,BEEF,KG_CAP,1995,25.34022628
AUS,BEEF,KG_CAP,1996,27.25910403
AUS,BEEF,KG_CAP,1997,28.80291318
AUS,BEEF,KG_CAP,1998,26.59047661
AUS,BEEF,KG_CAP,1999,27.91828298
AUS,BEEF,KG_CAP,2000,26.35462433
AUS,BEEF,KG_CAP,2001,24.46036157
AUS,BEEF,KG_CAP,2002,25.11618553
AUS,BEEF,KG_CAP,2003,25.81171138
AUS,BEEF,KG_CAP,2004,28.56664444
AUS,BEEF,KG_CAP,2005,27.06126788
AUS,BEEF,KG_CAP,2006,26.92516712
AUS,BEEF,KG_CAP,2007,24.09761552
AUS,BEEF,KG_CAP,2008,23.30106253
AUS,BEEF,KG_CAP,2009,23.43242333
AUS,BEEF,KG_CAP,2010,25.30048579
AUS,BEEF,KG_CAP,2011,23.28277027
AUS,BEEF,KG_CAP,2012,22.42724269
AUS,BEEF,KG_CAP,2013,23.7283312
AUS,BEEF,KG_CAP,2014,22.56230877
AUS,BEEF,KG_CAP,2015,19.69921565
AUS,BEEF,KG_CAP,2016,22.05102618
AUS,BEEF,KG_CAP,2017,20.93936854
AUS,BEEF,KG_CAP,2018,20.48332546
AUS,BEEF,KG_CAP,2019,20.19777844
AUS,BEEF,KG_CAP,2020,20.22746576
AUS,BEEF,KG_CAP,2021,20.13033565
AUS,BEEF,KG_CAP,2022,19.95139468
AUS,BEEF,KG_CAP,2023,19.82683288
AUS,BEEF,KG_CAP,2024,19.66928386
AUS,BEEF,KG_CAP,2025,19.54064458
AUS,BEEF,KG_CAP,2026,19.40126662
AUS,PIG,KG_CAP,1991,14.39647626
AUS,PIG,KG_CAP,1992,15.12924672
AUS,PIG,KG_CAP,1993,14.87067653
AUS,PIG,KG_CAP,1994,15.59669061
AUS,PIG,KG_CAP,1995,15.50471713
AUS,PIG,KG_CAP,1996,14.45952018
AUS,PIG,KG_CAP,1997,14.715333
AUS,PIG,KG_CAP,1998,15.16593208
AUS,PIG,KG_CAP,1999,15.06947353
AUS,PIG,KG_CAP,2000,15.20645363
AUS,PIG,KG_CAP,2001,15.20759062
AUS,PIG,KG_CAP,2002,15.96301173
AUS,PIG,KG_CAP,2003,17.41455784
AUS,PIG,KG_CAP,2004,17.70259893
AUS,PIG,KG_CAP,2005,18.6201897
AUS,PIG,KG_CAP,2006,17.95899956
AUS,PIG,KG_CAP,2007,19.68006992
AUS,PIG,KG_CAP,2008,19.2820737
AUS,PIG,KG_CAP,2009,19.86932277
AUS,PIG,KG_CAP,2010,20.15720138
AUS,PIG,KG_CAP,2011,19.62017287
AUS,PIG,KG_CAP,2012,20.52933381
AUS,PIG,KG_CAP,2013,19.98708042
AUS,PIG,KG_CAP,2014,19.9871332
AUS,PIG,KG_CAP,2015,21.73693448
AUS,PIG,KG_CAP,2016,20.49553047
AUS,PIG,KG_CAP,2017,20.66639814
AUS,PIG,KG_CAP,2018,20.64830874
AUS,PIG,KG_CAP,2019,20.67253334
AUS,PIG,KG_CAP,2020,20.72378898
AUS,PIG,KG_CAP,2021,20.77310466
AUS,PIG,KG_CAP,2022,20.79514695
AUS,PIG,KG_CAP,2023,20.84582526
AUS,PIG,KG_CAP,2024,20.88185661
AUS,PIG,KG_CAP,2025,20.93324486
AUS,PIG,KG_CAP,2026,20.99515033
AUS,POULTRY,KG_CAP,1990,21.76757838
AUS,POULTRY,KG_CAP,1991,22.05673617
AUS,POULTRY,KG_CAP,1992,22.07211807
AUS,POULTRY,KG_CAP,1993,23.25137718
AUS,POULTRY,KG_CAP,1994,23.99330583
AUS,POULTRY,KG_CAP,1995,23.57849787
AUS,POULTRY,KG_CAP,1996,24.02355821
AUS,POULTRY,KG_CAP,1997,25.24692111
